X0,Elev,FinalDate,Taxon,Fredo,Fthe,BodyLen,Thorax,CostumR,CostumL,WingA.R,WingA.L,BodyV,Group_ND_WingA,ND.WingA,FG.ND.WA,TXAV.WingA,TXSG.WingA,Group_ND_WingC,ND.WingC,FG.ND.WC,TXAV.WingC,TXSG.WingC,Group_AV.WingA,AV.WingA,FG.AV.WA,TXAV.AV.WA,TXSG.AV.WA,Group_AV.WingC,AV.WingC,FG.AV.WC,TXAV.AV.WC,TXSG.AV.WC,Group_BodyVol,BodyVol,FG.BV,TXAV.BodyV,TXSG.BodyV,Group_Regr.WA.Vol,FG.Regr.WA,.id,NL.BodyV,NL.WingA,Mean_log10Trait1,Mean_log10Trait2,Sigma_log10Trait1,Sigma_log10Trait2,FG.WA.Final,FG.BV.Final,MaxFlag,FG.Plot,TX.Slope,TX.Intcp,TX.Dslope,TX.Dintcp,Mean,Sigma,Ell_Maj,Ell_Min,Theta,Centroid_x,Centroid_y
2347,E0200,20140419,Macroglossinae_Acosmerycoides_harterti,0,0,44.7,12.3,41.1,41.6,238.8,252.6,1772,All_individuals,0.056166056166056,0,-0.002733242941153,0.099902121764213,All_individuals,0.012091898428053,0,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,245.7,0,230.4145,27.1533563740054,Acosmerycoides harterti,41.35,0,42.2127551020408,1.90173972473727,Acosmerycoides harterti,1772,0,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,2.18297841686406,0.509340401241556,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,0,0,0,0,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
2377,E0200,20140422,Macroglossinae_Acosmerycoides_harterti,0,0,43.3,11.7,40.7,NA,221.3,NA,1554,All_individuals,NA,7,-0.002733242941153,0.099902121764213,All_individuals,NA,7,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,221.3,7,230.4145,27.1533563740054,Acosmerycoides harterti,40.7,7,42.2127551020408,1.90173972473727,Acosmerycoides harterti,1554,0,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,1.47973757111329,-0.328071816104461,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,7,0,7,2,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
2392,E0200,20140423,Macroglossinae_Acosmerycoides_harterti,0,0,47.6,13.6,43.3,44.6,289.4,305.5,2305,All_individuals,0.054126743990587,0,-0.002733242941153,0.099902121764213,All_individuals,0.029579067121729,0,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,297.45,0,230.4145,27.1533563740054,Acosmerycoides harterti,43.95,0,42.2127551020408,1.90173972473727,Acosmerycoides harterti,2305,30,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,3.59170265081566,2.03965458085654,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,0,9,9,4,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
2399,E0200,20140423,Macroglossinae_Acosmerycoides_harterti,0,0,42.2,11.9,42.1,42,228.7,223.1,1565,All_individuals,-0.024789729969013,0,-0.002733242941153,0.099902121764213,All_individuals,-0.002378121284186,0,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,225.9,0,230.4145,27.1533563740054,Acosmerycoides harterti,42.05,0,42.2127551020408,1.90173972473727,Acosmerycoides harterti,1565,0,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,1.51752313200294,-0.163353444405428,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,0,0,0,0,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
2406,E0200,20140424,Macroglossinae_Acosmerycoides_harterti,0,0,39.6,13.4,38.9,NA,239.1,NA,1863,All_individuals,NA,7,-0.002733242941153,0.099902121764213,All_individuals,NA,7,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,239.1,7,230.4145,27.1533563740054,Acosmerycoides harterti,38.9,7,42.2127551020408,1.90173972473727,Acosmerycoides harterti,1863,30,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,2.45124988818664,0.291329182488258,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,7,9,9,4,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
2438,E0200,20140425,Macroglossinae_Acosmerycoides_harterti,0,0,43.1,12.2,41.4,41.5,231.9,202.3,1681,All_individuals,-0.136342699216951,0,-0.002733242941153,0.099902121764213,All_individuals,0.002412545235223,0,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,217.1,0,230.4145,27.1533563740054,Acosmerycoides harterti,41.45,0,42.2127551020408,1.90173972473727,Acosmerycoides harterti,1681,0,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,1.90056056217296,-0.481485012333311,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,0,0,0,0,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
3065,E0500,20140522,Macroglossinae_Acosmerycoides_harterti,0,0,39.6,10.3,41.8,41,220.6,218.5,1097,All_individuals,-0.009565019357777,0,-0.002733242941153,0.099902121764213,All_individuals,-0.019323671497585,0,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,219.55,0,230.4145,27.1533563740054,Acosmerycoides harterti,41.4,0,42.2127551020408,1.90173972473727,Acosmerycoides harterti,1097,0,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,-0.385833166534691,-0.391637126298897,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,0,0,0,0,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
3070,E0500,20140522,Macroglossinae_Acosmerycoides_harterti,0,0,41,9.5,42.2,42.8,238.7,253.9,965,All_individuals,0.061713357693869,0,-0.002733242941153,0.099902121764213,All_individuals,0.014117647058823,0,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,246.3,0,230.4145,27.1533563740054,Acosmerycoides harterti,42.5,0,42.2127551020408,1.90173972473727,Acosmerycoides harterti,965,0,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,-1.07262691443708,0.528868368975681,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,0,0,0,0,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
3208,E0900,20140522,Macroglossinae_Acosmerycoides_harterti,0,0,36.9,9.8,41.7,40.7,217.1,186.7,928,All_individuals,-0.150569588905399,0,-0.002733242941153,0.099902121764213,All_individuals,-0.024271844660194,0,-0.000909862928792,0.063054527273081,Acosmerycoides harterti,201.9,0,230.4145,27.1533563740054,Acosmerycoides harterti,41.2,0,42.2127551020408,1.90173972473727,Acosmerycoides harterti,928,0,1176.51515151515,202.676748947696,Acosmerycoides harterti,0,Acosmerycoides harterti,-1.28206380750955,-1.06263853089669,3.07148665332598,2.3627770101759,0.081071376087763,0.054242990025609,0,0,0,0,0.526373812005684,-0.030219315480301,0.07980451828933,0.079804319499062,3.06590368295202E-17,0.79800327215202,2.60018634893416,1.35523064259913,62.8150609865894,-0.071891306356123,-0.059500738760822
3723,E0700,20140522,Macroglossinae_Acosmerycoides_harterti,8,1,NA,NA,NA,NA,NA,NA,NA,All_individuals,NA,NA,NA,NA,All_individuals,NA,NA,NA,NA,Acosmerycoides harterti,NA,NA,NA,NA,Acosmerycoides harterti,NA,NA,NA,NA,Acosmerycoides harterti,NA,NA,NA,NA,Acosmerycoides harterti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
