Download the global tree with the following species,Names In our Data,Remark
Abroscopus_albogularis,Abroscopus_albogularis,matched between tree and our data
Abroscopus_schisticeps,Abroscopus_schisticeps,matched between tree and our data
Abroscopus_superciliaris,Abroscopus_superciliaris,matched between tree and our data
Accipiter_trivirgatus,Accipiter_trivirgatus,matched between tree and our data
Aceros_nipalensis,Aceros_nipalensis,matched between tree and our data
Acridotheres_tristis,Acridotheres_tristis,matched between tree and our data
Actinodura_egertoni,Actinodura_egertoni,matched between tree and our data
Aegithalos_concinnus,Aegithalos_concinnus,matched between tree and our data
Aegithina_tiphia,Aegithina_tiphia,matched between tree and our data
Aethopyga_gouldiae,Aethopyga_gouldiae,matched between tree and our data
Aethopyga_nipalensis,Aethopyga_nipalensis,matched between tree and our data
Aethopyga_saturata,Aethopyga_saturata,matched between tree and our data
Aethopyga_siparaja,Aethopyga_siparaja,matched between tree and our data
Alcippe_nipalensis,Alcippe_nipalensis,matched between tree and our data
Alophoixus_flaveolus,Alophoixus_flaveolus,matched between tree and our data
Ficedula_monileger,Anthipes_monileger,revised names in our data (old names in tree)
Anthracoceros_albirostris,Anthracoceros_albirostris,matched between tree and our data
Arachnothera_magna,Arachnothera_magna,matched between tree and our data
Arborophila_mandellii,Arborophila_mandellii,matched between tree and our data
Arborophila_rufogularis,Arborophila_rufogularis,matched between tree and our data
Arborophila_torqueola,Arborophila_torqueola,matched between tree and our data
Batrachostomus_hodgsoni,Batrachostomus_hodgsoni,matched between tree and our data
Blythipicus_pyrrhotis,Blythipicus_pyrrhotis,matched between tree and our data
Brachypteryx_leucophrys,Brachypteryx_leucophrys,matched between tree and our data
Brachypteryx_montana,Brachypteryx_montana,matched between tree and our data
Buceros_bicornis,Buceros_bicornis,matched between tree and our data
Cacomantis_merulinus,Cacomantis_merulinus,matched between tree and our data
Cacomantis_sonneratii,Cacomantis_sonneratii,matched between tree and our data
Haematospiza_sipahi,Carpodacus_sipahi,revised names in our data (old names in tree)
Pinicola_subhimachala,Carpodacus_subhimachalus,revised names in our data (old names in tree)
Certhia_discolor,Certhia_discolor,matched between tree and our data
Cettia_brunnifrons,Cettia_brunnifrons,matched between tree and our data
Tesia_castaneocoronata,Cettia_castaneocoronata,revised names in our data (old names in tree)
Chalcophaps_indica,Chalcophaps_indica,matched between tree and our data
Chelidorhynx_hypoxantha,Chelidorhynx_hypoxanthus,revised names in our data (old names in tree)
Paradoxornis_atrosuperciliaris,Chleuasicus_atrosuperciliaris,revised names in our data (old names in tree)
Carduelis_spinoides,Chloris_spinoides,revised names in our data (old names in tree)
